S/NO,PLOT-NO,SPECIES,PLOT,DIAMETER,HEIGHT,CROWN-DIAMETER,WOOD-DENSITY
1,1,Khaya senegalensis,P1,20.3,22.2,20.7,0.648
2,2,Khaya senegalensis,P1,19.4,23.2,25.55,0.648
3,3,Khaya senegalensis,P1,15.4,25,10.7,0.648
4,4,Gmelina arborea,P1,19.9,24,19.9,0.425
5,5,Sena siameao,P1,8,7.2,6.75,0.57
6,6,Detonixo regia,P1,11.1,11.4,11.85,0.5
7,7,Detonixo regia,P1,14.1,19.2,10.15,0.5
8,8,Khaya senegalensis,P1,18.1,25,24.7,0.648
9,9,Khaya senegalensis,P1,13.7,14,9.95,0.648
10,10,Khaya senegalensis,P1,19.4,21.9,17.3,0.648
11,11,Khaya senegalensis,P1,14.8,15,7.75,0.648
12,12,Khaya senegalensis,P1,15.7,20.2,15.5,0.648
13,13,Khaya senegalensis,P1,11.9,15.5,8.2,0.648
14,14,Khaya senegalensis,P1,11.1,14.6,7.85,0.648
15,15,Khaya senegalensis,P1,10.3,13,6.45,0.648
16,16,Khaya senegalensis,P1,15.3,17.2,12.9,0.648
17,17,Khaya senegalensis,P1,17.5,14,15.7,0.648
18,18,Khaya senegalensis,P1,17.3,14,12.95,0.648
19,19,Khaya senegalensis,P1,11.1,9.7,8.6,0.648
20,20,Khaya senegalensis,P1,15,18.6,12.85,0.648
21,21,Khaya senegalensis,P1,12.3,14.1,11.55,0.648
22,22,Khaya senegalensis,P1,13.8,13,8.15,0.648
23,1,Khaya senegalensis,P2,10.3,9.8,7.95,0.648
24,2,Khaya senegalensis,P2,13.6,14.6,8.5,0.648
25,3,Khaya senegalensis,P2,12,13,10.55,0.648
26,4,Khaya senegalensis,P2,15.4,17,13.85,0.648
27,5,Khaya senegalensis,P2,16.7,17,17.35,0.648
28,6,Khaya senegalensis,P2,9.2,12,7.75,0.648
29,7,Khaya senegalensis,P2,13.5,12,9.35,0.648
30,8,Khaya senegalensis,P2,11.7,11.1,9.1,0.648
31,9,Khaya senegalensis,P2,11.6,15,9.9,0.648
32,10,Khaya senegalensis,P2,17,18.7,9.15,0.648
33,11,Khaya senegalensis,P2,12.1,15.7,7.4,0.648
34,12,Khaya senegalensis,P2,10.6,13.6,6.7,0.648
35,13,Khaya senegalensis,P2,20.4,25.3,21.15,0.648
36,14,Khaya senegalensis,P2,9.1,7.3,8.8,0.648
37,15,Khaya senegalensis,P2,21,23.1,17.95,0.648
38,16,Khaya senegalensis,P2,12,17.6,9.6,0.648
39,17,Khaya senegalensis,P2,14.2,16,11.8,0.648
40,18,Khaya senegalensis,P2,12.1,12,8.5,0.648
41,19,Khaya senegalensis,P2,14.4,19.1,16.8,0.648
42,20,Khaya senegalensis,P2,10.7,15.1,7.15,0.648
43,21,Khaya senegalensis,P2,12.5,11,9.4,0.648
44,22,Khaya senegalensis,P2,16,16.2,7.65,0.648
45,23,Khaya senegalensis,P2,18.2,20.3,24.65,0.648
46,24,Khaya senegalensis,P2,14.5,18.2,10.5,0.648
47,1,Khaya senegalensis,P3,11.3,9.5,8.1,0.648
48,2,Khaya senegalensis,P3,12.5,17,9.85,0.648
49,3,Khaya senegalensis,P3,11.4,17,9.9,0.648
50,4,Khaya senegalensis,P3,17,13.1,11.15,0.648
51,5,Khaya senegalensis,P3,8.9,9.3,7.3,0.648
52,6,Khaya senegalensis,P3,10.7,10.8,8.1,0.648
53,7,Khaya senegalensis,P3,10.6,14.7,9.5,0.648
54,8,Khaya senegalensis,P3,11.6,14.5,10.35,0.648
55,9,Khaya senegalensis,P3,18.5,21.1,20.9,0.648
56,10,Khaya senegalensis,P3,10.8,14.2,8.1,0.648
57,11,Khaya senegalensis,P3,8.9,9.5,5.85,0.648
58,12,Khaya senegalensis,P3,26.9,29,24.25,0.648
59,13,Khaya senegalensis,P3,11.3,11.2,10.1,0.648
60,14,Khaya senegalensis,P3,10.7,14.7,9.65,0.648
61,15,Khaya senegalensis,P3,8.9,10.7,5.9,0.648
62,16,Khaya senegalensis,P3,12.6,12,12.1,0.648
63,17,Khaya senegalensis,P3,8.3,12.4,6.1,0.648
64,18,Khaya senegalensis,P3,8.2,10.5,6.5,0.648
65,19,Khaya senegalensis,P3,13.4,12.5,15.85,0.648
66,20,Khaya senegalensis,P3,18.5,19.4,22.1,0.648
67,21,Khaya senegalensis,P3,11.5,10.6,8.5,0.648
68,22,Khaya senegalensis,P3,10.8,9.5,7.35,0.648
69,23,Khaya senegalensis,P3,16.5,12.5,12.5,0.648
70,24,Khaya senegalensis,P3,19.7,22.1,18,0.648
71,1,Khaya senegalensis,P4,12.7,16.5,14.25,0.648
72,2,Khaya senegalensis,P4,14.8,17,10.2,0.648
73,3,Khaya senegalensis,P4,13.3,19,9.2,0.648
74,4,Khaya senegalensis,P4,17.8,17.3,19.6,0.648
75,5,Khaya senegalensis,P4,22.1,27.2,23.85,0.648
76,6,Eucalyptus camadolensis,P4,20.2,26.1,12.6,0.73
77,7,Khaya senegalensis,P4,28.6,32,38.85,0.648
78,8,Khaya senegalensis,P4,25.1,26.5,22.6,0.648
79,9,Khaya senegalensis,P4,20.7,22.5,19.75,0.648
80,10,Khaya senegalensis,P4,16.5,17,12.7,0.648
81,11,Khaya senegalensis,P4,20.5,26,19.32,0.648
82,12,Khaya senegalensis,P4,13.7,13.5,8.6,0.648
83,13,Khaya senegalensis,P4,13.5,16.4,9.3,0.648
84,14,Khaya senegalensis,P4,19.3,25.5,18.9,0.648
85,15,Khaya senegalensis,P4,19.3,23.7,17.75,0.648
86,16,Khaya senegalensis,P4,15.4,15.2,16.5,0.648
87,17,Khaya senegalensis,P4,10.8,14.3,11.1,0.648
88,18,Khaya senegalensis,P4,10.9,16,9.25,0.648
89,19,Khaya senegalensis,P4,12.3,16.1,8,0.648
90,20,Khaya senegalensis,P4,13.9,18.8,9.25,0.648
91,21,Khaya senegalensis,P4,17.8,20,19.6,0.648
92,22,Khaya senegalensis,P4,22.9,24.3,25.95,0.648
93,1,Khaya senegalensis,P5,20.2,24.5,21.15,0.648
94,2,Khaya senegalensis,P5,17,17,17.6,0.648
95,3,Khaya senegalensis,P5,14.2,19.6,9.8,0.648
96,4,Khaya senegalensis,P5,15.6,23.5,15.85,0.648
97,5,Khaya senegalensis,P5,8.1,9,11.65,0.648
98,6,Khaya senegalensis,P5,12.2,19.9,8.15,0.648
99,7,Khaya senegalensis,P5,9.8,12.2,5.95,0.648
100,8,Daniella oliveri,P5,14.2,22.2,14.55,0.533
101,9,Khaya senegalensis,P5,11.5,12.3,6.4,0.648
102,10,Khaya senegalensis,P5,11.5,12.6,9.2,0.648
103,11,Khaya senegalensis,P5,18.1,23,14.35,0.648
104,12,Khaya senegalensis,P5,16.9,23.3,12.2,0.648
105,13,Khaya senegalensis,P5,15.1,22,7.85,0.648
106,14,Khaya senegalensis,P5,14,20.1,10.05,0.648
107,15,Khaya senegalensis,P5,16.3,19,10.5,0.648
108,16,Khaya senegalensis,P5,10.7,9.3,7.05,0.648
109,17,Khaya senegalensis,P5,19.7,20.5,21,0.648
110,18,Khaya senegalensis,P5,19.7,21.6,16.6,0.648
111,19,Khaya senegalensis,P5,16.5,21,11.85,0.648
112,1,Azadirachta indica,P6,12.1,8.6,6.8,0.57
113,2,Azadirachta indica,P6,8.5,5.9,5.85,0.57
114,3,Azadirachta indica,P6,22.3,26,21.5,0.57
115,4,Azadirachta indica,P6,11.5,9,9.4,0.57
116,5,Azadirachta indica,P6,10.7,10,12.1,0.57
117,6,Azadirachta indica,P6,12.3,11,11.75,0.57
118,7,Azadirachta indica,P6,13.2,11,9.95,0.57
119,8,Azadirachta indica,P6,12.9,11.5,11.75,0.57
120,9,Azadirachta indica,P6,24.5,27,27.3,0.57
121,10,Azadirachta indica,P6,23.6,25,24.6,0.57
122,11,Azadirachta indica,P6,16.9,11.5,12.4,0.57
123,12,Azadirachta indica,P6,15.6,21.7,8.85,0.57
124,13,Azadirachta indica,P6,9.9,10.4,10.5,0.57
125,14,Azadirachta indica,P6,8.1,8.7,6.9,0.57
126,15,Azadirachta indica,P6,10.8,8.1,6.65,0.57
127,16,Azadirachta indica,P6,10.4,12.2,9.95,0.57
128,17,Anthocleista djalonensis,P6,15.8,14,8,0.532
129,18,Azadirachta indica,P6,19.1,20.5,15.4,0.57
130,1,Azadirachta indica,P7,10.2,7.6,6.45,0.57
131,2,Azadirachta indica,P7,12.9,10,10.1,0.57
132,3,Azadirachta indica,P7,9.5,8,6.15,0.57
133,4,Azadirachta indica,P7,13.8,7,8.05,0.57
134,5,Azadirachta indica,P7,11.8,10.2,10.05,0.57
135,6,Azadirachta indica,P7,17.5,16,11.7,0.57
136,7,Azadirachta indica,P7,11.6,11,10.15,0.57
137,8,Azadirachta indica,P7,14.2,20.3,12,0.57
138,9,Azadirachta indica,P7,10.5,12,10.5,0.57
139,10,Abezia zygia,P7,18.1,18,14.2,0.804
140,11,Azadirachta indica,P7,15,11.6,14.6,0.57
141,12,Azadirachta indica,P7,11.5,9.1,9.5,0.57
142,13,Azadirachta indica,P7,9.1,11,11.05,0.57
143,14,Azadirachta indica,P7,17,9.4,15.5,0.57
144,15,Azadirachta indica,P7,12.9,7.5,9,0.57
145,16,Azadirachta indica,P7,6.9,7.1,7.15,0.57
146,17,Azadirachta indica,P7,10.7,8,10.05,0.57
147,18,Daniella oliveri,P7,8.5,10,6.6,0.533
148,19,Azadirachta indica,P7,15.5,17.9,7.75,0.57
149,20,Azadirachta indica,P7,8.5,9.9,5.9,0.57
150,21,Azadirachta indica,P7,10.3,11.4,17,0.57
151,22,Azadirachta indica,P7,8.1,9.3,4.9,0.57
152,23,Azadirachta indica,P7,8.5,11,7.7,0.57
153,24,Azadirachta indica,P7,10.1,8.9,5.5,0.57
