Tree SNO,Tree PNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,PLOT,WOOD-DENSITY,FOREST,COUNT
1,1,Parkia biglobosa,16.4,14.8,14.1,11.7,P1,0.525,FOR,1
2,2,Parkia biglobosa,12.8,12,9.2,7.05,P1,0.525,FOR,1
3,3,Parkia biglobosa,11.9,10.1,9,7.25,P1,0.525,FOR,1
4,4,Parkia biglobosa,16.3,15,11.2,12.1,P1,0.525,FOR,1
5,5,Anogeissus leiocarpus,9.6,8.8,7.9,6.15,P1,0.6,FOR,1
6,6,Anogeissus leiocarpus,10.1,3.4,2.9,7.9,P1,0.6,FOR,1
7,7,Maranthes polyandra,13.3,10.7,9,10.25,P1,0.6,FOR,1
8,8,Scacia nilotica,14.3,11.9,9.1,13.2,P1,0.6,FOR,1
9,9,Anogeissus leiocarpus,12,9.1,8.1,8.65,P1,0.6,FOR,1
10,10,Scacia nilotica,15.1,27.3,17.9,22.05,P1,0.6,FOR,1
11,11,Ficus sur,9,8.5,6.4,7.15,P1,0.4,FOR,1
12,12,Ficus sur,7.5,6.8,4.7,6.1,P1,0.4,FOR,1
13,13,Zanthoxylus zanthoxyloides,15.4,11.8,10.1,8.35,P1,0.6,FOR,1
14,14,Zanthoxylus zanthoxyloides,11.6,9.7,8.7,5.75,P1,0.6,FOR,1
15,15,Zanthoxylus zanthoxyloides,12.1,11.5,10.2,9.9,P1,0.6,FOR,1
16,16,Vitex doniana,14.4,11.5,9.1,10.15,P1,0.4,FOR,1
17,17,Lannea schimperianna,6.4,4.1,4.2,3.55,P1,0.6,FOR,1
18,18,Vitex doniana,15.3,13,10.3,11.15,P1,0.4,FOR,1
19,19,Parkia biglobosa,11.8,9.2,6.8,5.5,P1,0.525,FOR,1
20,20,Parkia biglobosa,13.7,12,9.5,11.65,P1,0.525,FOR,1
21,21,Parkia biglobosa,23.9,21.6,16.3,17.11,P1,0.525,FOR,1
22,22,Daniella oliveri,28.3,20.1,17.9,16.12,P1,0.533,FOR,1
23,23,Vitex doniana,9.8,7.7,5.5,5.05,P1,0.4,FOR,1
24,24,Khaya senegalensis,25.1,19.3,18,15.1,P1,0.648,FOR,1
25,25,Terminalia avicennoides,6.8,6.4,4.8,4.15,P1,0.6,FOR,1
26,26,Daniella oliveri,9.9,9,7.1,8.5,P1,0.533,FOR,1
27,1,Elaeis guineesis,14.9,11.5,8.5,5.65,P2,0.6,FOR,1
28,2,Vitex doniana,9.2,9.1,7.1,6.9,P2,0.4,FOR,1
29,3,Afzelia africana,6.4,4.5,5.2,3.5,P2,0.68,FOR,1
30,4,Vitex doniana,10.8,9.5,7.6,8.15,P2,0.4,FOR,1
31,5,Daniella oliveri,6.4,6,5.5,4.1,P2,0.533,FOR,1
32,6,Elaeis guineesis,10,7.5,4.3,5.95,P2,0.6,FOR,1
33,7,Ficus sur,8.9,7.6,5.2,8.8,P2,0.4,FOR,1
34,8,Elaeis guineesis,14.3,12.8,7.3,10.14,P2,0.6,FOR,1
35,9,Anacardium occidentale,19.1,14.6,13.3,11.65,P2,0.6,FOR,1
36,10,Anogeissus leiocarpus,12.4,9.9,7.2,10.85,P2,0.6,FOR,1
37,11,Elaeis guineesis,11.3,9.9,8.9,6.25,P2,0.6,FOR,1
38,12,Elaeis guineesis,14,11.8,6,7.5,P2,0.6,FOR,1
39,13,Elaeis guineesis,19.1,14,7,8.1,P2,0.6,FOR,1
40,14,Elaeis guineesis,17.2,19.1,9,11.9,P2,0.6,FOR,1
41,15,Elaeis guineesis,17.5,15.3,9,9.25,P2,0.6,FOR,1
42,16,Kigelia africana,12.7,6.7,5,4.5,P2,0.6,FOR,1
43,17,Khaya senegalensis,10.3,8.7,6.9,7,P2,0.648,FOR,1
44,18,Elaeis guineesis,16.2,13.3,8.3,10,P2,0.6,FOR,1
45,19,Elaeis guineesis,16.2,13.1,7.3,11.2,P2,0.6,FOR,1
46,20,Khaya senegalensis,10.5,9.9,7.1,10.8,P2,0.648,FOR,1
47,21,Anogeissus leiocarpus,19.1,14.3,12.9,8.75,P2,0.6,FOR,1
48,22,Daniella oliveri,13,9.9,7.2,7.1,P2,0.533,FOR,1
49,23,Anogeissus leiocarpus,13.4,11.3,9.2,12.7,P2,0.6,FOR,1
50,24,Elaeis guineesis,12.5,10.3,9.1,6.4,P2,0.6,FOR,1
51,25,Prosopis africana,14,12,10.1,9.4,P2,0.6,FOR,1
52,26,Vitex doniana,9.2,8.4,6.3,6.15,P2,0.4,FOR,1
53,1,Parkia biglobosa,17.5,15.3,12.6,10.1,P3,0.525,FOR,1
54,2,Khaya senegalensis,15.8,12.6,12.4,8.6,P3,0.648,FOR,1
55,3,Parkia biglobosa,23.2,17.8,15.1,13.87,P3,0.525,FOR,1
56,4,Gmelina aborea,8.3,7.2,4.3,8.6,P3,0.425,FOR,1
57,5,Parkia biglobosa,6.4,4.5,4.3,5.5,P3,0.525,FOR,1
58,6,Sterculia setigera,14,12.8,10.3,10.21,P3,0.6,FOR,1
59,7,Vitex doniana,11.7,10.1,8.9,6.6,P3,0.4,FOR,1
60,8,Khaya senegalensis,12.1,9.5,7.8,6.25,P3,0.648,FOR,1
61,9,Khaya senegalensis,9.6,9.1,7.5,4.4,P3,0.648,FOR,1
62,10,Elaeis guineesis,25.3,20,10.4,11.11,P3,0.6,FOR,1
63,11,Kigelia africana,13.2,12.7,6.8,9.45,P3,0.6,FOR,1
64,12,Kigelia africana,13.5,11.9,9.5,7.5,P3,0.6,FOR,1
65,13,Elaeis guineesis,17.8,15.1,8.5,8.91,P3,0.6,FOR,1
66,14,Elaeis guineesis,8.3,7.7,4.9,7.15,P3,0.6,FOR,1
67,15,Elaeis guineesis,11.5,9.5,8,3.65,P3,0.6,FOR,1
68,16,Elaeis guineesis,8.4,8,5.2,6.55,P3,0.6,FOR,1
69,17,Elaeis guineesis,8.8,7.4,4.1,8.2,P3,0.6,FOR,1
70,18,Elaeis guineesis,8.3,6.7,6.5,5.25,P3,0.6,FOR,1
71,19,Parkia biglobosa,15.6,14,10.3,10.7,P3,0.525,FOR,1
72,20,Daniella oliveri,19.1,16.4,14.2,10.65,P3,0.533,FOR,1
73,1,Parkia biglobosa,12.4,9.9,7.7,6.5,P4,0.525,FOR,1
74,2,Acacia polyacanta,16.3,12.3,10,10,P4,0.6,FOR,1
75,3,Elaeis guineesis,16.9,14,9.7,8.45,P4,0.6,FOR,1
76,4,Khaya senegalensis,16.5,15,12,11.85,P4,0.648,FOR,1
77,5,Elaeis guineesis,20.1,14.6,7.2,9.2,P4,0.6,FOR,1
78,6,Pterocarpus erinaceus,7.3,6.4,4.1,5.5,P4,0.6,FOR,1
79,7,Elaeis guineesis,19.8,17.3,8,10.7,P4,0.6,FOR,1
80,8,Parkia biglobosa,12.7,10.6,8.3,7.35,P4,0.525,FOR,1
81,9,Khaya senegalensis,15.1,12.7,13,11.85,P4,0.648,FOR,1
82,10,Khaya senegalensis,8.3,7.4,6,4.65,P4,0.648,FOR,1
83,11,Kigelia africana,10.5,9.2,8.3,9.25,P4,0.6,FOR,1
84,12,Kigelia africana,10.8,9.7,7.2,8.9,P4,0.6,FOR,1
85,13,Parkia biglobosa,11.1,9.5,7.1,4.1,P4,0.525,FOR,1
86,14,Lannea schimperianna,19.1,17.2,11,11.31,P4,0.6,FOR,1
87,15,Parkia biglobosa,7.1,6.2,3.1,4.05,P4,0.525,FOR,1
88,16,Sarcocephalus latifolius,8.3,5.1,4.5,3.95,P4,0.6,FOR,1
89,17,Khaya senegalensis,14.6,12.9,10.8,11.8,P4,0.648,FOR,1
90,18,Parkia biglobosa,17.8,12.4,11.9,7.9,P4,0.525,FOR,1
91,19,Pseuplocedela kotshyi,8.9,6,4.8,3.5,P4,0.6,FOR,1
92,20,Parkia biglobosa,13.4,11.1,8.2,9.9,P4,0.525,FOR,1
93,1,Melicia excelsa,8.6,8,5.8,9.8,P5,0.6,FOR,1
94,2,Crosopteryx febrifuga,9.2,7.4,5,5.6,P5,0.6,FOR,1
95,3,Lannea schimperianna,8,6.5,3.9,3.95,P5,0.6,FOR,1
96,4,Anogeissus leiocarpus,12.4,8.8,8.7,7.9,P5,0.6,FOR,1
97,5,Daniella oliveri,9.5,8.8,7.6,6.7,P5,0.533,FOR,1
98,6,Khaya senegalensis,12.2,10.8,10.3,8.05,P5,0.648,FOR,1
99,7,Anogeissus leiocarpus,7.6,6.8,3.1,5.55,P5,0.6,FOR,1
100,8,Vitex doniana,13,11.5,9.1,10.5,P5,0.4,FOR,1
101,9,Vitex doniana,7.5,6.5,4.4,5.5,P5,0.4,FOR,1
102,10,Daniella oliveri,8.6,7.5,7.7,5,P5,0.533,FOR,1
103,11,Ficus sycomorus,10.8,8.8,8.2,11.1,P5,0.6,FOR,1
104,12,Daniella oliveri,11.5,9.1,7.5,8,P5,0.533,FOR,1
105,13,Daniella oliveri,13,10.2,10.2,7.75,P5,0.533,FOR,1
106,14,Daniella oliveri,13.2,10.8,9.3,10.1,P5,0.533,FOR,1
107,15,Sterculia setigera,15.6,13.5,9.5,9.2,P5,0.6,FOR,1
108,16,Elaeis guineesis,20.4,17.3,7.2,10.8,P5,0.6,FOR,1
109,17,Elaeis guineesis,16.5,12.8,7.9,10.5,P5,0.6,FOR,1
110,18,Elaeis guineesis,16.5,15.7,7.9,9.41,P5,0.6,FOR,1
111,1,Daniella oliveri,22,17.7,14.2,13.1,P6,0.533,FOR,1
112,2,Sterculia setigera,9.5,7.8,5.8,6.45,P6,0.6,FOR,1
113,3,Crosopteryx febrifuga,6.5,5.9,4.3,5.05,P6,0.6,FOR,1
114,4,Khaya senegalensis,13.5,10.3,7.2,7.75,P6,0.648,FOR,1
115,5,Sterculia setigera,8.4,6.2,3.2,3.4,P6,0.6,FOR,1
116,6,Acacia nilotica,10.6,9.2,9.1,10.1,P6,0.6,FOR,1
117,7,Parkia biglobosa,6.9,5.5,3.7,5,P6,0.525,FOR,1
118,8,Lannea schimperianna,16.4,14.6,11.3,11.35,P6,0.6,FOR,1
119,9,Diospyros mespiliformis,7.4,5.8,4.1,8.5,P6,0.6,FOR,1
120,10,Anogeissus leiocarpus,10.6,8.4,6.2,8,P6,0.6,FOR,1
121,11,Khaya senegalensis,12.9,10.2,9.2,6.1,P6,0.648,FOR,1
122,12,Khaya senegalensis,7.6,5.7,3.9,4.75,P6,0.648,FOR,1
123,13,Anogeissus leiocarpus,17.8,15.4,14.3,10.6,P6,0.6,FOR,1
124,14,Ficus trichopoda,15.6,12.9,11.6,9.16,P6,0.6,FOR,1
125,15,Afzelia africana,16.5,15,15.6,11.13,P6,0.68,FOR,1
126,16,Acacia polyacanta,9.5,7.3,6.3,7.5,P6,0.6,FOR,1
127,17,Anogeissus leiocarpus,9.2,8.3,6.1,8.95,P6,0.6,FOR,1
128,18,Vitex doniana,12.3,8.6,6,5.1,P6,0.4,FOR,1
129,19,Khaya senegalensis,14.3,12.8,11.3,7.15,P6,0.648,FOR,1
130,1,Daniella oliveri,16.9,12.2,12.3,10.1,P7,0.533,FOR,1
131,2,Parkia biglobosa,24.2,17.7,14.5,12.7,P7,0.525,FOR,1
132,3,Prosopis africana,17.3,11.2,11,8.2,P7,0.6,FOR,1
133,4,Lannea schimperianna,12.5,9.5,7.3,6.75,P7,0.6,FOR,1
134,5,Bukia africana,10,8.3,5.9,3.35,P7,0.6,FOR,1
135,6,Strychinof spinosa,7.5,6.5,4.7,5.4,P7,0.6,FOR,1
136,7,Bukia africana,12.5,9.2,8.2,6.25,P7,0.6,FOR,1
137,8,Parkia biglobosa,17.7,13,12,12,P7,0.525,FOR,1
138,9,Ficus sycomorus,6.5,5.6,5.1,3.95,P7,0.6,FOR,1
139,10,Ficus sycomorus,17.4,8.3,7.5,5.65,P7,0.6,FOR,1
140,11,Prosopis africana,13.7,10.2,6.8,7.55,P7,0.6,FOR,1
141,1,Daniella oliveri,20.5,17.3,13.5,11.9,P8,0.533,FOR,1
142,2,Vitex doniana,14.2,11.9,8.2,7.9,P8,0.4,FOR,1
143,3,Daniella oliveri,20.5,18.4,18,14.65,P8,0.533,FOR,1
144,4,Stereosperimum kunthianum,6.8,4.3,4.5,4.05,P8,0.6,FOR,1
145,5,Parkia biglobosa,13.7,12.3,11.1,8.85,P8,0.525,FOR,1
146,6,Prosopis africana,13.1,11.7,7.5,6.55,P8,0.6,FOR,1
147,7,Magifera indica,9.2,7.7,6.8,7.55,P8,0.52,FOR,1
148,8,Daniella oliveri,18.6,15.6,12.8,10,P8,0.533,FOR,1
149,9,Prosopis africana,20.8,17.3,11.3,10.45,P8,0.6,FOR,1
150,10,Daniella oliveri,18.3,15.1,10.3,10.2,P8,0.533,FOR,1
151,11,Sterculia setigera,12.6,7.8,5.6,4.85,P8,0.6,FOR,1
152,1,Parkia biglobosa,15.1,14,9.9,10.4,P9,0.525,FOR,1
153,2,Parkia biglobosa,16.9,14.3,10.5,6.7,P9,0.525,FOR,1
154,3,Daniella oliveri,12.4,9.9,9,5.6,P9,0.533,FOR,1
155,4,Daniella oliveri,13.7,11.3,10.3,8.2,P9,0.533,FOR,1
156,5,Prosopis africana,21.2,15.4,11.1,9.75,P9,0.6,FOR,1
157,6,Daniella oliveri,14,11.8,10.6,6.2,P9,0.533,FOR,1
158,7,Daniella oliveri,18.2,16.2,13.9,11.21,P9,0.533,FOR,1
159,8,Daniella oliveri,19.1,15.8,11.2,10.97,P9,0.533,FOR,1
160,9,Parkia biglobosa,13.7,11.1,9.5,6.65,P9,0.525,FOR,1
161,10,Vitex doniana,9.8,8.8,7.1,6.7,P9,0.4,FOR,1
162,1,Daniella oliveri,18.6,16.1,13.2,11.65,P10,0.533,FOR,1
163,2,Vitex doniana,11.2,8.3,6.1,7.15,P10,0.4,FOR,1
164,3,Vitex doniana,7,6.1,4.5,5.75,P10,0.4,FOR,1
165,4,Prosopis africana,19.4,17.2,14.1,10.42,P10,0.6,FOR,1
166,5,Ficus exaspirata,7.8,7,4.5,8.6,P10,0.6,FOR,1
167,6,Daniella oliveri,15.3,12.7,12.8,8.8,P10,0.533,FOR,1
168,7,Vitex doniana,17.5,15.3,5.5,9.42,P10,0.4,FOR,1
169,8,Elaeis guineesis,28.3,25.1,15.7,18.21,P10,0.6,FOR,1
170,9,Elaeis guineesis,23.6,19.2,9.3,11.3,P10,0.6,FOR,1
171,10,Lophira lanceolata,9.5,8,4.9,5.65,P10,0.6,FOR,1
172,11,Ficus sycomorus,10.8,9.1,6.1,6.15,P10,0.6,FOR,1
173,12,Prosopis africana,16.9,14.3,11.5,8.1,P10,0.6,FOR,1
174,13,Prosopis africana,19.1,17.3,13.5,12.1,P10,0.6,FOR,1
175,1,Daniella oliveri,15.3,11.9,9,8.45,P11,0.533,FOR,1
176,2,Elaeis guineesis,20.8,16.5,10.2,10.2,P11,0.6,FOR,1
177,3,Vitellaria paradoxa,9.9,8.3,5.9,5.8,P11,0.6,FOR,1
178,4,Parkia biglobosa,9.9,8,5.1,5.15,P11,0.525,FOR,1
179,5,Daniella oliveri,10,8.9,7.8,5.65,P11,0.533,FOR,1
180,6,Khaya senegalensis,22.4,21.1,17.1,16.81,P11,0.648,FOR,1
181,7,Khaya senegalensis,16.5,13.4,11.9,10.12,P11,0.648,FOR,1
182,8,Elaeis guineesis,12.7,11.6,6,5.5,P11,0.6,FOR,1
183,9,Elaeis guineesis,17,13,8.1,11.2,P11,0.6,FOR,1
184,10,Ficus sur,7,6.4,3.9,7.6,P11,0.4,FOR,1
185,11,Bukia africana,14.6,12.1,11.2,9.05,P11,0.6,FOR,1
186,12,Khaya senegalensis,15.2,12.9,11.3,11.97,P11,0.648,FOR,1
