,Tree.SNO,SPECIES,DB.cm.,DIAMETER,HEIGHT,CROWN.DIAMETER,LOCATION
1,1,Daniella oliveri,13.4,11.1,12,11.3,L1
3,3,Daniella oliveri,15.4,13.5,11.5,11.7,L1
5,5,Daniella oliveri,10,8.8,8,6.5,L1
6,6,Daniella oliveri,11.9,10.4,10,6.9,L1
7,7,Daniella oliveri,11.5,10.2,8,7.9,L1
8,8,Daniella oliveri,15.5,13.7,10,9.8,L1
10,10,Daniella oliveri,13,10.3,8.5,7.2,L1
12,12,Daniella oliveri,15.8,13,11.5,7.7,L1
13,13,Daniella oliveri,13.5,12,10.2,5.7,L1
14,14,Daniella oliveri,11.9,10.3,9.5,7.7,L1
15,15,Daniella oliveri,10.5,8.8,5.5,6.8,L1
17,17,Daniella oliveri,10,8.1,8.5,6,L1
19,19,Daniella oliveri,15.3,10.5,10,6.9,L1
20,20,Daniella oliveri,15.3,10.2,10,6.9,L1
21,21,Daniella oliveri,15.6,12.7,11,7.9,L1
22,22,Daniella oliveri,12.9,11.3,10,8.2,L1
24,24,Daniella oliveri,12.3,8.6,9.8,6.8,L1
26,26,Daniella oliveri,9.2,8.1,6,7.1,L1
27,27,Daniella oliveri,20.7,17.7,16.9,11.5,L1
28,28,Daniella oliveri,16.4,14.2,9,10.1,L1
29,29,Daniella oliveri,15.9,12.7,11.1,8.8,L1
31,31,Daniella oliveri,10.5,8.4,6.5,6.7,L1
33,33,Daniella oliveri,12.1,10.2,10,7.4,L1
34,34,Daniella oliveri,12.1,11.1,10.9,6.4,L1
35,35,Daniella oliveri,13.4,11.6,7.5,10.2,L1
36,36,Daniella oliveri,8,7,5,4.6,L1
38,38,Daniella oliveri,7.8,6.2,5.5,3.7,L1
40,40,Daniella oliveri,8.3,8,6,4.7,L1
41,41,Daniella oliveri,14.6,10.7,10.9,8.1,L1
42,42,Daniella oliveri,14.6,14.3,9,5.5,L1
43,43,Daniella oliveri,13.2,11.5,9,8.2,L1
45,45,Daniella oliveri,10.7,9.1,7.8,6.8,L1
47,47,Daniella oliveri,8,6.8,8,4.4,L1
48,48,Daniella oliveri,8.5,6.9,8,4.9,L1
49,49,Daniella oliveri,16.9,13.7,9,10.7,L1
50,50,Daniella oliveri,8.3,7.3,5,6.4,L1
52,52,Daniella oliveri,10.2,8,5.8,7.3,L2
54,54,Daniella oliveri,17.8,15.1,12.5,8.7,L2
55,55,Daniella oliveri,16.5,14.2,9,9.9,L2
56,56,Daniella oliveri,22.3,17.2,15.3,13.8,L2
57,57,Daniella oliveri,10.2,9.5,8,7.2,L2
59,59,Daniella oliveri,22.3,18.1,16.1,14.2,L2
61,61,Daniella oliveri,14.3,10.9,10.9,7,L2
62,62,Daniella oliveri,24.5,21.3,18.6,15.5,L2
63,63,Daniella oliveri,20.7,16.7,14.5,11.2,L3
64,64,Daniella oliveri,22.6,16.5,14.8,13.1,L3
66,66,Daniella oliveri,7,5.7,4,3.3,L3
68,68,Daniella oliveri,8.3,5.7,4.8,4.6,L3
69,69,Daniella oliveri,10.8,8.3,6,5.9,L3
70,70,Daniella oliveri,8,3,5.5,4.8,L3
71,71,Daniella oliveri,14.3,11.8,8,7.8,L3
73,73,Daniella oliveri,7.6,6.2,6,5,L3
75,75,Daniella oliveri,23.9,18.8,15.8,15.1,L3
76,76,Daniella oliveri,15.8,14.5,9.5,8.8,L3
77,77,Daniella oliveri,9.4,8.1,8.5,6.4,L3
78,78,Daniella oliveri,8.9,8.1,6,5.3,L3
80,80,Daniella oliveri,10.8,9.7,9.5,6.7,L3
82,82,Daniella oliveri,12.4,10.7,9.5,7.7,L3
83,83,Daniella oliveri,15.1,11.9,10.9,6.3,L3
84,84,Daniella oliveri,16.5,13.4,9,9.7,L3
85,85,Daniella oliveri,9.9,8.3,7.5,6.8,L3
87,87,Daniella oliveri,14,12.1,11.5,8.7,L3
89,89,Daniella oliveri,11.6,9.1,8,6.4,L3
90,90,Daniella oliveri,11.6,9.1,8,6.3,L3
91,91,Daniella oliveri,12.7,10.5,9.5,6.3,L3
92,92,Daniella oliveri,11.8,8.9,8,7.2,L3
94,94,Daniella oliveri,19.1,14.8,10,9.7,L3
96,96,Daniella oliveri,10.5,8.6,8,5.2,L3
97,97,Daniella oliveri,15.8,13.8,9.8,7.9,L3
98,98,Daniella oliveri,14,10.8,10.9,7.1,L3
99,99,Daniella oliveri,18,13.7,9,7.8,L3
101,101,Daniella oliveri,7.5,5.9,6,6,L3
103,103,Daniella oliveri,12.4,10.8,10.9,8.5,L3
104,104,Daniella oliveri,12.1,10.5,9,7.9,L3
105,105,Daniella oliveri,13.7,10.2,10,6.9,L4
106,106,Daniella oliveri,16.5,15.3,11,8.2,L4
108,108,Daniella oliveri,14.5,12.6,10,8.2,L4
110,110,Daniella oliveri,10.7,9.7,9,5.5,L4
111,111,Daniella oliveri,17.5,15,10,10,L4
112,112,Daniella oliveri,12.4,8.3,6,7.6,L4
113,113,Daniella oliveri,8,5.6,6.2,4.8,L4
115,115,Daniella oliveri,7.6,5.4,6,3.6,L4
117,117,Daniella oliveri,10.7,6.8,7,5,L4
118,118,Daniella oliveri,8.4,5.7,6,5.1,L4
119,119,Daniella oliveri,17.8,15.4,9.7,9.8,L4
120,120,Daniella oliveri,18,13,10,8.4,L4
122,122,Daniella oliveri,13,12.9,10.5,8.9,L4
124,124,Daniella oliveri,7.6,6.7,8,5.3,L4
125,125,Daniella oliveri,17.8,15,11,10.9,L4
126,126,Daniella oliveri,19.1,15.3,10,10.5,L4
127,127,Daniella oliveri,14.2,12.1,11,8.8,L4
129,129,Daniella oliveri,18.1,13.8,11,10,L4
131,131,Daniella oliveri,13,11.3,10.5,7.3,L4
132,132,Daniella oliveri,17.8,14.8,11.5,10.6,L4
133,133,Daniella oliveri,12.4,11.1,9.5,7.5,L4
134,134,Daniella oliveri,12.4,1,5.5,7.3,L4
136,136,Daniella oliveri,15.6,11.9,10.4,8.5,L4
138,138,Daniella oliveri,12.3,10.5,8,6.4,L4
139,139,Daniella oliveri,8.9,7.5,7,3.9,L4
140,140,Daniella oliveri,11.5,8.8,7,6.7,L4
141,141,Daniella oliveri,9.5,7.4,6.5,6.5,L4
143,143,Daniella oliveri,11.1,8.9,7.5,6.9,L4
145,145,Daniella oliveri,11.9,9.9,11,5.8,L4
146,146,Daniella oliveri,8.6,7.8,6.5,6.1,L4
147,147,Daniella oliveri,8.9,5.6,6.9,6.1,L4
148,148,Daniella oliveri,9.5,7.7,8.5,4.6,L4
150,150,Daniella oliveri,7,5.7,8,3.9,L4
152,152,Daniella oliveri,7.6,6.7,9,4.1,L4
153,153,Daniella oliveri,15.6,12.7,10,8.9,L4
154,154,Daniella oliveri,15.8,12.6,11,9.1,L5
155,155,Daniella oliveri,9.2,7,10,4.9,L5
157,157,Daniella oliveri,9.2,6.8,10,5.7,L5
159,159,Daniella oliveri,9.2,7,9,5.1,L5
160,160,Daniella oliveri,9.2,8.6,10,5.8,L5
161,161,Daniella oliveri,10.8,7.8,10,4.9,L5
162,162,Daniella oliveri,20.1,17.2,15.9,12.9,L5
164,164,Daniella oliveri,11.3,8.6,10,5.4,L5
166,166,Daniella oliveri,7.3,5.1,7,3.8,L5
167,167,Daniella oliveri,8.3,7,7,3.8,L5
168,168,Daniella oliveri,7.3,6.4,6.5,3.5,L5
169,169,Daniella oliveri,9.4,7.6,8,4.8,L5
171,171,Daniella oliveri,9.2,7.5,8.5,3.7,L5
173,173,Daniella oliveri,12.7,10.8,9.5,4.2,L5
174,174,Daniella oliveri,11.5,9.5,10,6.6,L5
175,175,Daniella oliveri,9.5,9.2,8,4.3,L5
176,176,Daniella oliveri,8,6,9,3.7,L5
178,178,Daniella oliveri,15.8,14.5,10,7.5,L5
180,180,Daniella oliveri,8,6.4,8,3.1,L5
181,181,Daniella oliveri,8.9,7.3,8.5,5.1,L5
182,182,Daniella oliveri,11.8,9.5,9,7.5,L5
183,183,Daniella oliveri,7.5,5.6,5.9,5.6,L5
185,185,Daniella oliveri,17.2,14.6,10.5,10.1,L5
187,187,Daniella oliveri,10.8,7.3,9,6.4,L5
188,188,Daniella oliveri,15.6,12.2,10.5,7.6,L5
189,189,Daniella oliveri,23.7,11.3,10,9.2,L5
190,190,Daniella oliveri,16.5,12.1,11,9,L5
192,192,Daniella oliveri,8.6,6.4,6.5,5.2,L5
194,194,Daniella oliveri,20.5,15.6,11.5,11.9,L5
195,195,Daniella oliveri,15,12.3,10.5,6.3,L5
196,196,Daniella oliveri,11.6,9.4,9,6.1,L5
197,197,Daniella oliveri,18.1,14.7,10.5,8.9,L5
199,199,Daniella oliveri,8.4,7,9.5,5.8,L5
201,201,Daniella oliveri,19.1,16.2,13.9,13.2,L5
202,202,Daniella oliveri,6.5,4.8,6,4.6,L6
203,203,Daniella oliveri,17.5,16.2,15.6,11.5,L6
204,204,Daniella oliveri,15,11.8,10,7.8,L6
206,206,Daniella oliveri,9.5,6.7,8,4.5,L6
208,208,Daniella oliveri,10.3,8.6,9,6.2,L6
209,209,Daniella oliveri,14.3,11.8,10,8.5,L6
210,210,Daniella oliveri,10.8,7.3,8.5,5.6,L6
211,211,Daniella oliveri,17.5,13.4,11.5,9,L6
213,213,Daniella oliveri,9.2,7.1,7.5,4.8,L6
215,215,Daniella oliveri,14.8,11.8,11,7.7,L6
216,216,Daniella oliveri,14.6,12.6,10.5,7.4,L6
217,217,Daniella oliveri,11.3,8,10,5.8,L6
218,218,Daniella oliveri,12.7,10.3,10,7.8,L7
220,220,Daniella oliveri,11.5,9.1,8,7.9,L8
222,222,Daniella oliveri,8.6,5.7,5.9,4.9,L8
223,223,Daniella oliveri,25.3,23.2,20,16.3,L8
224,224,Daniella oliveri,2.5,23.9,19.2,16.6,L8
225,225,Daniella oliveri,7.3,5.2,7.5,4.8,L8
227,227,Daniella oliveri,7.5,5.7,5.9,8.9,L8
229,229,Daniella oliveri,8.5,5.9,4.5,8.7,L8
230,230,Daniella oliveri,9.5,8.3,10.5,8.9,L8
231,231,Daniella oliveri,8.3,6.8,9.5,8.1,L8
232,232,Daniella oliveri,8.6,6.6,10,7.8,L8
234,234,Daniella oliveri,8.1,4.6,6,9.3,L8
236,236,Daniella oliveri,25.8,23.2,20,17.5,L8
237,237,Daniella oliveri,10.2,8.3,12,9.6,L8
238,238,Daniella oliveri,16.1,12.9,12.5,9.3,L8
239,239,Daniella oliveri,16.5,13.2,12.5,9.2,L8
241,241,Daniella oliveri,12.1,8.6,11.5,8.9,L8
243,243,Daniella oliveri,12.4,10.3,10.2,8.8,L8
244,244,Daniella oliveri,10.3,7.6,11,8.3,L9
245,245,Daniella oliveri,9.9,8,10.5,8.7,L9
246,246,Daniella oliveri,10.5,7.8,10,7.4,L9
248,248,Daniella oliveri,12.7,11.1,10,7.8,L9
250,250,Daniella oliveri,16.5,15.1,9.5,6.9,L9
251,251,Daniella oliveri,13.4,12.7,10.5,6.6,L9
252,252,Daniella oliveri,15,12.7,10,8,L9
253,253,Daniella oliveri,10.2,8.4,8,6.1,L9
255,255,Daniella oliveri,10.6,8.4,7.5,6.9,L9
257,257,Daniella oliveri,13,12.2,11.5,8.8,L9
258,258,Daniella oliveri,10.5,8.7,9,5.7,L9
259,259,Daniella oliveri,13.4,11.2,12,10.7,L9
260,260,Daniella oliveri,7.3,5.4,7.7,4.8,L9
262,262,Daniella oliveri,9,5.8,4.9,5,L10
264,264,Daniella oliveri,14.3,12.2,11.5,9.7,L10
265,265,Daniella oliveri,12.1,10.8,11,8.1,L10
266,266,Daniella oliveri,13.4,11.7,10.5,8,L10
267,267,Daniella oliveri,14.3,11.8,11,8.1,L10
269,269,Daniella oliveri,10.2,8,8,6.1,L10
271,271,Daniella oliveri,9.9,8.1,11,7.9,L10
272,272,Daniella oliveri,10.2,8.7,10,8.4,L10
273,273,Daniella oliveri,17.6,15.6,10.5,9.8,L11
274,274,Daniella oliveri,16.2,13.4,10,8.1,L11
276,276,Daniella oliveri,19.1,14.6,11.5,9.9,L11
278,278,Daniella oliveri,17.8,14.8,10.5,8.7,L11
279,279,Daniella oliveri,12.4,10.6,9,7,L11
280,280,Daniella oliveri,9.7,8.6,8,6.1,L11
281,281,Daniella oliveri,12.2,10.5,9,7,L11
283,283,Daniella oliveri,15.7,14.4,9.5,7.1,L11
285,285,Daniella oliveri,7.5,5.5,8,6,L11
286,286,Daniella oliveri,16.5,12.5,11,9.1,L11
287,287,Daniella oliveri,15.1,10.9,11,8.5,L11
288,288,Daniella oliveri,15.3,10.5,10,6.9,L11
290,290,Daniella oliveri,20.7,17.6,16.1,13.5,L11
292,292,Daniella oliveri,12.1,10.3,8.5,7.3,L11
293,293,Daniella oliveri,13,11.6,9.5,8.1,L11
294,294,Daniella oliveri,11.5,10.3,8,7.5,L11
295,295,Daniella oliveri,14.6,10.6,9,8,L11
297,297,Daniella oliveri,22.3,16.9,15.2,12.1,L11
299,299,Daniella oliveri,11.5,8,8.5,5.6,L11
300,300,Daniella oliveri,17.8,14.8,9.5,8.4,L11
