S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
1,P1,Tectona grandis,34.1,28.6,4.7,0.0644,0.615,132.352,0.529,70.014
2,P1,Gmelina arborea,52.5,34.7,5.3,0.0945,0.425,150.759,0.529,79.752
3,P1,Kashier,53.5,46.1,5.5,0.1673,0.600,382.409,0.529,202.295
4,P1,Kashier,26.1,22.0,3.9,0.0379,0.600,64.159,0.529,33.940
5,P1,Kashier,34.4,25.8,4,0.0522,0.600,89.933,0.529,47.574
6,P1,Kashier,37.9,24.5,4.5,0.0472,0.600,91.392,0.529,48.347
7,P1,Gmelina arborea,64.9,50.9,5.9,0.2037,0.425,354.102,0.529,187.320
8,P1,Kashier,36.9,25.1,4,0.0497,0.600,85.649,0.529,45.308
9,P1,Kashier,31.2,22.9,4.4,0.0412,0.600,78.427,0.529,41.488
10,P1,Kashier,31.5,27.1,4,0.0575,0.600,98.805,0.529,52.268
11,P1,Kashier,29.9,23.9,4.3,0.0448,0.600,83.048,0.529,43.932
12,P1,Kashier,37.6,36.0,4,0.1016,0.600,172.252,0.529,91.121
13,P1,Kashier,38.2,29.0,5,0.0659,0.600,140.342,0.529,74.241
14,P1,Kashier,35.6,27.4,4,0.0588,0.600,101.087,0.529,53.475
15,P1,Khaya senegalensis,26.1,22.3,3.8,0.0390,0.648,69.343,0.529,36.682
16,P1,Gmelina arborea,53.5,36.0,4.4,0.1016,0.425,134.882,0.529,71.352
17,P1,Tectona grandis,28.5,20.8,3.8,0.0341,0.615,57.843,0.529,30.599
18,P1,Khaya senegalensis,30.9,25.8,4.5,0.0522,0.648,108.743,0.529,57.525
19,P1,Khaya senegalensis,25.1,21.6,3.8,0.0368,0.648,65.528,0.529,34.664
20,P1,Khaya senegalensis,16.5,12.7,3.1,0.0127,0.648,19.067,0.529,10.087
21,P1,Gmelina arborea,33.7,25.3,5.2,0.0503,0.425,79.923,0.529,42.279
22,P1,Tectona grandis,29.6,24.7,5.6,0.0478,0.615,117.281,0.529,62.042
23,P1,Tectona grandis,33.3,28.5,5.9,0.0637,0.615,163.452,0.529,86.466
24,P1,Gmelina arborea,34.1,25.5,4.5,0.0509,0.425,70.259,0.529,37.167
25,P2,Tectona grandis,22.3,17.8,9.4,0.0249,0.615,103.114,0.529,54.547
26,P2,Kashier,39.5,31.2,9.7,0.0764,0.600,309.675,0.529,163.818
27,P2,Kashier,21.3,15.0,9.7,0.0176,0.600,73.785,0.529,39.032
28,P2,Tectona grandis,26.1,22.0,9.7,0.0379,0.615,159.810,0.529,84.539
29,P2,Tectona grandis,19.1,16.2,7.4,0.0207,0.615,68.019,0.529,35.982
30,P2,Tectona grandis,22.6,19.7,7.5,0.0306,0.615,100.899,0.529,53.376
31,P2,Tectona grandis,20.7,16.2,7.4,0.0207,0.615,68.019,0.529,35.982
32,P2,Tectona grandis,25.1,21.0,7,0.0347,0.615,106.573,0.529,56.377
33,P2,Gmelina arborea,25.8,20.7,9,0.0336,0.425,92.147,0.529,48.746
34,P2,Tectona grandis,27.1,24.8,7,0.0484,0.615,147.661,0.529,78.112
35,P2,Tectona grandis,24.5,20.7,8.3,0.0336,0.615,122.154,0.529,64.619
36,P2,Tectona grandis,28.3,22.3,7.4,0.0390,0.615,126.207,0.529,66.763
37,P2,Gmelina arborea,29.6,23.6,7.5,0.0436,0.425,99.342,0.529,52.552
38,P2,Gmelina arborea,22.6,19.1,7,0.0286,0.425,61.674,0.529,32.625
39,P2,Gmelina arborea,27.1,23.2,8,0.0424,0.425,103.028,0.529,54.502
40,P2,Gmelina arborea,23.9,20.4,7.5,0.0326,0.425,74.827,0.529,39.583
41,P2,Tectona grandis,20.4,16.5,7,0.0215,0.615,66.917,0.529,35.399
42,P3,Gmelina arborea,54.7,44.2,7.2,0.1537,0.425,326.780,0.529,172.867
43,P3,Gmelina arborea,54.7,25.1,7.2,0.0497,0.425,108.457,0.529,57.374
44,P3,Gmelina arborea,24.5,24.0,7.5,0.0453,0.425,103.311,0.529,54.652
45,P3,Gmelina arborea,31.8,29.9,7.5,0.0703,0.425,158.467,0.529,83.829
46,P3,Gmelina arborea,55.7,38.5,7.4,0.1165,0.425,256.036,0.529,135.443
47,P3,Gmelina arborea,42.0,29.0,7.4,0.0659,0.425,146.809,0.529,77.662
48,P3,Gmelina arborea,42.0,23.9,7.4,0.0448,0.425,100.652,0.529,53.245
49,P3,Gmelina arborea,29.6,24.5,7.4,0.0472,0.425,105.958,0.529,56.052
50,P3,Gmelina arborea,57.3,54.7,7.4,0.2354,0.425,508.693,0.529,269.099
51,P3,Gmelina arborea,40.1,36.3,7.2,0.1034,0.425,221.906,0.529,117.388
52,P3,Gmelina arborea,33.1,27.7,7.2,0.0602,0.425,130.928,0.529,69.261
53,P3,Gmelina arborea,44.6,35.0,7,0.0963,0.425,201.349,0.529,106.513
54,P3,Gmelina arborea,46.5,35.6,7.4,0.0998,0.425,220.180,0.529,116.475
55,P3,Gmelina arborea,41.4,22.9,7.3,0.0412,0.425,91.717,0.529,48.518
56,P3,Gmelina arborea,41.4,19.7,7.3,0.0306,0.425,68.499,0.529,36.236
57,P3,Gmelina arborea,41.1,32.5,7.5,0.0828,0.425,185.858,0.529,98.319
58,P3,Gmelina arborea,32.1,26.1,7.2,0.0535,0.425,116.642,0.529,61.704
59,P3,Gmelina arborea,38.2,32.5,7,0.0828,0.425,173.755,0.529,91.916
60,P3,Gmelina arborea,35.0,30.6,7,0.0733,0.425,154.363,0.529,81.658
61,P3,Gmelina arborea,28.6,24.2,6.5,0.0460,0.425,91.009,0.529,48.144
62,P3,Gmelina arborea,27.7,22.0,7,0.0379,0.425,81.018,0.529,42.859
63,P3,Gmelina arborea,47.7,45.2,7.3,0.1604,0.425,345.306,0.529,182.667
64,P3,Gmelina arborea,43.3,21.3,6.5,0.0357,0.425,71.160,0.529,37.644
65,P3,Gmelina arborea,43.3,25.5,7,0.0509,0.425,108.139,0.529,57.205
66,P3,Gmelina arborea,60.2,29.9,7.3,0.0703,0.425,154.342,0.529,81.647
67,P3,Gmelina arborea,60.2,33.7,7.4,0.0894,0.425,197.743,0.529,104.606
68,P3,Gmelina arborea,59.8,46.5,7.5,0.1696,0.425,374.292,0.529,198.001
69,P4,Tectona grandis,18.1,14.5,4.8,0.0165,0.615,35.679,0.529,18.874
70,P4,Tectona grandis,18.1,15.0,4,0.0176,0.615,31.815,0.529,16.830
71,P4,Tectona grandis,21.6,17.8,4.3,0.0249,0.615,48.063,0.529,25.425
72,P4,Tectona grandis,26.1,20.4,4.7,0.0326,0.615,68.032,0.529,35.989
73,P4,Tectona grandis,21.5,14.3,4,0.0161,0.615,29.225,0.529,15.460
74,P4,Tectona grandis,16.9,12.6,4.3,0.0124,0.615,24.317,0.529,12.863
75,P4,Tectona grandis,16.2,13.0,4,0.0134,0.615,24.369,0.529,12.891
76,P4,Tectona grandis,19.4,14.5,4.3,0.0165,0.615,32.047,0.529,16.953
77,P4,Daniella olivera,16.5,12.6,4,0.0124,0.533,19.721,0.529,10.432
78,P4,Tectona grandis,23.4,17.7,4.5,0.0245,0.615,49.371,0.529,26.117
79,P4,Tectona grandis,19.1,16.9,4.3,0.0223,0.615,43.165,0.529,22.834
80,P4,Tectona grandis,16.7,14.0,4.4,0.0154,0.615,30.698,0.529,16.239
81,P4,Daniella olivera,20.4,17.2,4.3,0.0232,0.533,38.963,0.529,20.612
82,P4,Tectona grandis,27.1,21.0,4.6,0.0347,0.615,70.743,0.529,37.423
83,P4,Kashier,43.6,16.2,4.3,0.0207,0.600,39.119,0.529,20.694
84,P4,Kashier,43.6,31.5,5,0.0780,0.600,165.432,0.529,87.513
85,P4,Tectona grandis,16.5,15.0,4,0.0176,0.615,31.815,0.529,16.830
86,P4,Tectona grandis,23.7,18.3,4.4,0.0263,0.615,51.756,0.529,27.379
87,P4,Tectona grandis,25.8,19.7,4.3,0.0306,0.615,58.627,0.529,31.013
88,P4,Tectona grandis,25.1,21.3,4,0.0357,0.615,63.561,0.529,33.624
89,P4,Tectona grandis,21.6,20.1,4.3,0.0316,0.615,60.486,0.529,31.997
90,P4,Tectona grandis,21.5,17.2,4.8,0.0232,0.615,49.843,0.529,26.367
91,P4,Tectona grandis,28.8,24.2,5.6,0.0460,0.615,112.891,0.529,59.719
92,P4,Tectona grandis,35.0,27.4,5.2,0.0588,0.615,133.672,0.529,70.713
93,P4,Tectona grandis,23.9,20.7,5.1,0.0336,0.615,75.941,0.529,40.173
94,P4,Tectona grandis,28.2,24.2,4.3,0.0460,0.615,87.236,0.529,46.148
95,P4,Tectona grandis,32.8,26.6,5.4,0.0555,0.615,130.927,0.529,69.260
96,P4,Kashier,28.6,22.3,4.2,0.0390,0.600,70.936,0.529,37.525
97,P4,Daniella olivera,28.3,23.1,4.5,0.0418,0.533,72.389,0.529,38.294
98,P5,Gmelina arborea,27.2,22.3,8,0.0390,0.425,94.925,0.529,50.215
99,P5,Gmelina arborea,41.7,37.2,6.3,0.1089,0.425,204.923,0.529,108.404
100,P5,Gmelina arborea,22.6,20.4,7.4,0.0326,0.425,73.853,0.529,39.068
101,P5,Khaya senegalensis,18.5,16.9,5.3,0.0223,0.648,55.742,0.529,29.487
102,P5,Gmelina arborea,30.2,25.1,7.5,0.0497,0.425,112.866,0.529,59.706
103,P5,Gmelina arborea,30.1,26.4,6.4,0.0548,0.425,106.465,0.529,56.320
104,P5,Gmelina arborea,24.8,20.5,5.4,0.0331,0.425,55.133,0.529,29.165
105,P5,Gmelina arborea,34.4,29.6,6.4,0.0688,0.425,132.937,0.529,70.324
106,P5,Gmelina arborea,28.3,23.7,7,0.0442,0.425,94.102,0.529,49.780
107,P5,Gmelina arborea,29.8,27.7,6.5,0.0602,0.425,118.489,0.529,62.681
108,P5,Gmelina arborea,23.6,19.1,7.4,0.0286,0.425,65.111,0.529,34.444
109,P5,Gmelina arborea,26.4,23.9,6.8,0.0448,0.425,92.679,0.529,49.027
110,P5,Gmelina arborea,24.3,22.3,7.4,0.0390,0.425,87.970,0.529,46.536
111,P5,Gmelina arborea,20.1,17.2,7.2,0.0232,0.425,51.609,0.529,27.301
112,P5,Gmelina arborea,40.7,27.8,7.6,0.0609,0.425,139.575,0.529,73.835
113,P5,Gmelina arborea,42.0,29.0,8.4,0.0659,0.425,166.142,0.529,87.889
114,P5,Gmelina arborea,22.9,17.2,6.4,0.0232,0.425,46.004,0.529,24.336
115,P5,Gmelina arborea,25.5,21.8,6.3,0.0373,0.425,72.071,0.529,38.125
116,P5,Daniella olivera,22.9,17.2,6.4,0.0232,0.533,57.441,0.529,30.386
117,P5,Vitex doniana,34.1,28.0,7,0.0616,0.400,122.892,0.529,65.010
118,P5,Gmelina arborea,31.2,26.4,7.4,0.0548,0.425,122.672,0.529,64.893
119,P5,Gmelina arborea,24.5,20.7,7.6,0.0336,0.425,78.130,0.529,41.331
120,P5,Gmelina arborea,24.8,22.3,8,0.0390,0.425,94.925,0.529,50.215
121,P5,Gmelina arborea,20.7,18.0,7.2,0.0254,0.425,56.375,0.529,29.823
122,P5,Gmelina arborea,25.1,21.6,6.9,0.0368,0.425,77.644,0.529,41.074
123,P5,Gmelina arborea,21.8,18.8,7.4,0.0277,0.425,63.010,0.529,33.332
124,P5,Gmelina arborea,31.5,25.9,7.2,0.0528,0.425,115.258,0.529,60.971
125,P5,Gmelina arborea,23.6,21.0,6.5,0.0347,0.425,69.102,0.529,36.555
126,P5,Gmelina arborea,25.3,22.0,6.2,0.0379,0.425,71.968,0.529,38.071
127,P5,Khaya senegalensis,34.1,29.3,5.6,0.0673,0.648,172.603,0.529,91.307
128,P5,Vitex doniana,30.6,24.8,7.4,0.0484,0.400,102.522,0.529,54.234
129,P5,Anthocleista djalonensis,35.0,25.5,7,0.0509,0.523,132.574,0.529,70.131
130,P6,Gmelina arborea,25.8,25.1,6.7,0.0497,0.425,101.100,0.529,53.482
131,P6,Daniella olivera,23.9,17.2,6.8,0.0232,0.533,60.942,0.529,32.239
132,P6,Khaya senegalensis,43.6,31.3,7.4,0.0772,0.648,258.857,0.529,136.935
133,P6,Daniella olivera,22.9,18.5,6.8,0.0268,0.533,70.065,0.529,37.064
134,P6,Magifera indica,61.7,51.6,7.4,0.2088,0.520,551.609,0.529,291.801
135,P6,Gmelina arborea,22.6,19.1,7.4,0.0286,0.425,65.111,0.529,34.444
136,P6,Gmelina arborea,27.7,19.7,7.6,0.0306,0.425,71.245,0.529,37.689
137,P6,Gmelina arborea,24.0,20.4,6.8,0.0326,0.425,68.003,0.529,35.973
138,P6,Gmelina arborea,24.3,19.4,7.4,0.0296,0.425,67.246,0.529,35.573
139,P6,Gmelina arborea,38.2,29.6,7.4,0.0688,0.425,153.173,0.529,81.029
140,P6,Afzelia africana,38.8,22.3,6.3,0.0390,0.680,119.098,0.529,63.003
141,P6,Afzelia africana,38.8,24.5,6.5,0.0472,0.680,147.893,0.529,78.236
142,P6,Gmelina arborea,25.1,21.5,7.4,0.0362,0.425,81.942,0.529,43.347
143,P6,Gmelina arborea,23.9,18.8,7.3,0.0277,0.425,62.179,0.529,32.892
144,P6,Daniella olivera,18.5,15.9,5.8,0.0199,0.533,44.901,0.529,23.752
145,P6,Gmelina arborea,21.6,18.5,7.4,0.0268,0.425,60.942,0.529,32.238
146,P6,Afzelia africana,22.3,19.4,5,0.0296,0.680,72.656,0.529,38.435
147,P6,Afzelia africana,60.2,32.8,7.1,0.0844,0.680,284.448,0.529,150.473
148,P6,Afzelia africana,60.2,17.0,6.9,0.0228,0.680,77.016,0.529,40.741
149,P6,Afzelia africana,60.2,20.1,7.1,0.0316,0.680,108.957,0.529,57.638
150,P6,Gmelina arborea,20.1,17.8,6.2,0.0249,0.425,47.882,0.529,25.330
151,P6,Gmelina arborea,22.3,19.1,7.1,0.0286,0.425,62.534,0.529,33.080
152,P6,Gmelina arborea,21.3,18.8,7.2,0.0277,0.425,61.347,0.529,32.453
153,P6,Gmelina arborea,22.0,20.1,7.3,0.0316,0.425,70.672,0.529,37.386
154,P6,Gmelina arborea,20.4,18.5,7,0.0268,0.425,57.725,0.529,30.536
155,P6,Gmelina arborea,22.0,19.7,7.4,0.0306,0.425,69.415,0.529,36.721
156,P6,Gmelina arborea,27.7,23.9,7.2,0.0448,0.425,97.997,0.529,51.840
157,P6,Gmelina arborea,25.1,22.4,6.8,0.0395,0.425,82.135,0.529,43.449
158,P6,Anthocleista djalonensis,29.6,24.2,7.4,0.0460,0.523,126.627,0.529,66.986
159,P7,Gmelina arborea,32.8,26.4,6.1,0.0548,0.425,101.591,0.529,53.742
160,P7,Gmelina arborea,26.9,24.8,6.1,0.0484,0.425,89.988,0.529,47.604
161,P7,Gmelina arborea,28.0,26.4,6.5,0.0548,0.425,108.088,0.529,57.179
162,P7,Gmelina arborea,30.6,28.6,5.3,0.0644,0.425,103.731,0.529,54.874
163,P7,Gmelina arborea,29.3,25.0,5.4,0.0490,0.425,80.898,0.529,42.795
164,P7,Gmelina arborea,28.0,22.9,6,0.0412,0.425,75.740,0.529,40.066
165,P7,Gmelina arborea,34.7,30.6,7.4,0.0733,0.425,162.966,0.529,86.209
166,P7,Gmelina arborea,31.8,24.2,7.1,0.0460,0.425,99.200,0.529,52.477
167,P7,Gmelina arborea,34.7,30.2,7.4,0.0718,0.425,159.669,0.529,84.465
168,P7,Gmelina arborea,36.0,30.9,7.5,0.0749,0.425,168.489,0.529,89.131
169,P7,Kashier,36.0,32.1,7,0.0812,0.600,238.888,0.529,126.372
170,P7,Gmelina arborea,29.9,29.3,6.4,0.0673,0.425,130.161,0.529,68.855
171,P7,Ptericarpus erinaceous,23.6,23.6,7.4,0.0436,0.740,168.659,0.529,89.221
172,P7,Gmelina arborea,32.5,26.7,7.2,0.0561,0.425,122.260,0.529,64.676
173,P7,Gmelina arborea,33.1,27.2,7.4,0.0582,0.425,129.988,0.529,68.764
174,P7,Gmelina arborea,39.5,35.0,7.6,0.0963,0.425,218.176,0.529,115.415
175,P7,Gmelina arborea,29.0,25.3,7.2,0.0503,0.425,109.801,0.529,58.085
176,P7,Gmelina arborea,28.8,24.8,7.4,0.0484,0.425,108.661,0.529,57.482
177,P7,Gmelina arborea,40.4,32.1,7.4,0.0812,0.425,179.945,0.529,95.191
178,P7,Gmelina arborea,45.5,42.0,7.6,0.1386,0.425,311.436,0.529,164.750
179,P7,Gmelina arborea,31.8,25.5,7.4,0.0509,0.425,114.166,0.529,60.394
180,P7,Gmelina arborea,36.3,29.8,7.2,0.0696,0.425,150.701,0.529,79.721
181,P7,Gmelina arborea,33.4,29.0,7.4,0.0659,0.425,146.809,0.529,77.662
182,P7,Gmelina arborea,28.6,23.9,7.1,0.0448,0.425,96.668,0.529,51.137
183,P7,Gmelina arborea,29.0,23.6,7.4,0.0436,0.425,98.049,0.529,51.868
184,P7,Gmelina arborea,30.6,26.7,7.3,0.0561,0.425,123.917,0.529,65.552
185,P7,Gmelina arborea,28.3,22.9,7.2,0.0412,0.425,90.491,0.529,47.870
186,P7,Gmelina arborea,36.6,30.6,6.5,0.0733,0.425,143.592,0.529,75.960
187,P7,Gmelina arborea,29.3,24.5,7.2,0.0472,0.425,103.162,0.529,54.573
188,P7,Gmelina arborea,25.8,23.6,6.2,0.0436,0.425,82.499,0.529,43.642
189,P7,Gmelina arborea,26.4,22.8,6.8,0.0407,0.425,84.425,0.529,44.661
190,P8,Gmelina arborea,57.3,42.5,7.4,0.1418,0.425,310.202,0.529,164.097
191,P8,Gmelina arborea,50.6,45.4,6.5,0.1616,0.425,310.445,0.529,164.225
192,P8,Gmelina arborea,25.3,24.3,6.3,0.0466,0.425,89.412,0.529,47.299
193,P8,Tectona grandis,33.4,23.4,6.3,0.0430,0.615,118.640,0.529,62.760
194,P8,Gmelina arborea,35.3,21.8,6.4,0.0373,0.425,73.187,0.529,38.716
195,P8,Gmelina arborea,27.4,21.3,5.9,0.0357,0.425,64.742,0.529,34.248
196,P8,Gmelina arborea,52.5,22.8,7.1,0.0407,0.425,88.058,0.529,46.583
197,P8,Gmelina arborea,52.5,25.1,7,0.0497,0.425,105.516,0.529,55.818
198,P8,Gmelina arborea,44.6,31.5,6.8,0.0780,0.425,159.347,0.529,84.294
199,P8,Khaya senegalensis,28.3,17.2,6.4,0.0232,0.648,69.497,0.529,36.764
200,P8,Gmelina arborea,33.1,26.7,6.3,0.0561,0.425,107.321,0.529,56.773
201,P8,Gmelina arborea,31.8,26.9,5.8,0.0568,0.425,100.153,0.529,52.981
